1          ,19A                    ,19B                    ,20A                    ,20B                    ,20C                    ,20J                   ,21J                    ,21K                    ,21L                   ,22A                    ,22B(BA.5.2.48)         ,22B(BF.7)              ,22B(Other)            ,22C                    ,22D                   ,22E                   ,22F                  ,23A                    ,23B                    ,23C                    ,23D                   ,23E                    ,23F                    ,23G                    ,23H                    ,23I                    ,recombinant
2023-01-29 ,0.0                    ,3.774581965047371e-05  ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,7.549163930094743e-05  ,0.002717699014834107  ,0.0010191371305627902  ,0.0006794247537085268  ,0.001170120409164685   ,0.10319707092439512   ,3.774581965047371e-05  ,0.04469105046616087   ,0.3657947382327407    ,0.028233873098554334 ,0.33876873136300156    ,0.00026422073755331596 ,0.07133959913939532    ,0.014909598761937115  ,0.0005661872947571057  ,0.0                    ,3.774581965047371e-05  ,3.774581965047371e-05  ,0.0                    ,0.026422073755331597
2023-02-05 ,0.00011307100859339665 ,3.769033619779888e-05  ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,3.769033619779888e-05  ,0.0                    ,0.002638323533845922  ,0.0005653550429669833  ,0.00041459369817578774 ,0.0004899743705713855  ,0.07862204130860848   ,3.769033619779888e-05  ,0.039725614352480024  ,0.3073270013568521    ,0.026873209709030604 ,0.4050203527815468     ,0.0002638323533845922  ,0.0806573194632896     ,0.026835519372832805  ,0.0010930197497361677  ,0.00011307100859339665 ,0.0                    ,3.769033619779888e-05  ,0.0                    ,0.029096939544700738
2023-02-12 ,7.386069872220991e-05  ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,3.6930349361104953e-05 ,0.002548194105916242  ,0.0002585124455277347  ,0.0001846517468055248  ,0.00044316419233325947 ,0.06270773321515621   ,0.0                    ,0.03253563778713347   ,0.24392495753009824   ,0.02474333407194032  ,0.49109978580397373    ,0.0002585124455277347  ,0.07541177339537632    ,0.036487185168771696  ,0.0012925622276386735  ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.027993204815717557
2023-02-19 ,0.00011439029970258523 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.002364066193853428  ,0.00022878059940517045 ,0.00022878059940517045 ,0.00034317089910775565 ,0.04426904598490048   ,0.0                    ,0.025089605734767026  ,0.1985434301837871    ,0.02017082284755586  ,0.5563562876534737     ,0.0008007320979180966  ,0.07370548310836575    ,0.04792953557538321   ,0.00263097689315946    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.02722489132921528
2023-02-26 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.002252430253694776  ,0.0002766142416818146  ,0.00019758160120129613 ,0.000355646882162333   ,0.0336283885244606    ,0.0                    ,0.02303801470007113   ,0.15996206433256935   ,0.01944202955820754  ,0.5931794831265312     ,0.001936299691772702   ,0.06994388682525883    ,0.06642693432387577   ,0.003675017782344108   ,0.0                    ,0.0                    ,0.0                    ,3.951632024025923e-05  ,0.02564609183592824
2023-03-05 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0013000083871508848 ,0.00012580726327266628 ,0.00016774301769688837 ,0.0                    ,0.02365176549526126   ,0.0                    ,0.015054935838295732  ,0.11867818502054851   ,0.024784030864715256 ,0.6266879141155749     ,0.006290363163633314   ,0.0639520254969387     ,0.09091671559171349   ,0.00461293298666443    ,4.193575442422209e-05  ,4.193575442422209e-05  ,0.0                    ,0.0                    ,0.02369370124968548
2023-03-12 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.00092109303039607   ,8.772314575200667e-05  ,8.772314575200667e-05  ,0.0                    ,0.0197377077942015    ,0.0                    ,0.012939163998420983  ,0.09636387560857933   ,0.026492390017106012 ,0.6341944822141322     ,0.01368481073731304    ,0.05430062722049213    ,0.11197859555243651   ,0.007982806263432606   ,8.772314575200667e-05  ,0.0                    ,0.0                    ,0.0                    ,0.021141278126233606
2023-03-19 ,4.577916132576451e-05  ,0.0                    ,9.155832265152902e-05  ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,9.155832265152902e-05  ,0.0011902581944698773 ,0.0                    ,0.0                    ,9.155832265152902e-05  ,0.015381798205456876  ,0.0                    ,0.010117194652993957  ,0.0708203625709577    ,0.028245742537996704 ,0.6239241897088446     ,0.028886650796557407   ,0.05044863578099249    ,0.13761215894524811   ,0.012223036073979125   ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.020829518403222853
2023-03-26 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,4.678581454103116e-05  ,0.0                   ,0.0                    ,0.0                    ,0.0004678581454103116 ,4.678581454103116e-05  ,4.678581454103116e-05  ,0.0003275007017872181  ,0.01211752596612707   ,0.0                    ,0.008374660802844578  ,0.05319547113315243   ,0.030504351080752317 ,0.6160756058762983     ,0.05286797043136521    ,0.03836436792364555    ,0.15022925049125105   ,0.0172639655656405     ,0.00018714325816412465 ,0.00028071488724618694 ,4.678581454103116e-05  ,0.0                    ,0.019556470478151025
2023-04-02 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,5.127679212388473e-05  ,0.0007178750897343862 ,0.0                    ,5.127679212388473e-05  ,5.127679212388473e-05  ,0.01051174238539637   ,0.0                    ,0.006871090144600554  ,0.03584247769459543   ,0.03707312070556866  ,0.584965644549277      ,0.06209619526202441    ,0.039380576351143476   ,0.18305814788226848   ,0.020869654394421084   ,0.00010255358424776946 ,0.00010255358424776946 ,0.0                    ,0.0                    ,0.018254537996102965
